"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","hom.27.2a4a5b6a7a-ce-k8",1982,10,15,0.0916001114133167,0.105379044344905,0.221533116007715,0.0990380297757661,2.41848085760635,0.939826607760985,2469204.05972579,0.0175917812763203,47836900
"2","hom.27.2a4a5b6a7a-ce-k8",1983,10,15,0.0916001114133167,0.105379044344905,0.0692166301184417,0.032059218979641,0.755639147709367,0.304227649614201,2587597.20882527,0.0241721820889396,1506360
"3","hom.27.2a4a5b6a7a-ce-k8",1984,10,15,0.0916001114133167,0.105379044344905,0.072053124492999,0.036165922520442,0.786605205837381,0.343198429491078,2702618.19912496,0.0220630252102797,1618940
"4","hom.27.2a4a5b6a7a-ce-k8",1985,10,15,0.0916001114133167,0.105379044344905,0.0751843022906848,0.0438415131986992,0.820788327990556,0.416036352115762,3134921.05298634,0.0183019338045991,2127570
"5","hom.27.2a4a5b6a7a-ce-k8",1986,10,15,0.0916001114133167,0.105379044344905,0.080452574710115,0.0484743247461977,0.878302149078161,0.459999661674114,4372868.66193473,0.0225870847665092,2659390
"6","hom.27.2a4a5b6a7a-ce-k8",1987,10,15,0.0916001114133167,0.105379044344905,0.0892394354890343,0.0504422741278433,0.9742284601202,0.478674621139533,5087092.58254917,0.0286410893319969,5227420
"7","hom.27.2a4a5b6a7a-ce-k8",1988,10,15,0.0916001114133167,0.105379044344905,0.0907295247439495,0.0475107311667498,0.990495790278694,0.450855589572891,5122534.61354665,0.0319636666611311,2828290
"8","hom.27.2a4a5b6a7a-ce-k8",1989,10,15,0.0916001114133167,0.105379044344905,0.0926256558481132,0.0473206080208753,1.01119588632561,0.449051405951219,4916890.0279194,0.0326974680534505,3172420
"9","hom.27.2a4a5b6a7a-ce-k8",1990,10,15,0.0916001114133167,0.105379044344905,0.131339731098746,0.0463577731930778,1.43383811517561,0.439914534063805,4654213.91177327,0.0455939467409293,2213230
"10","hom.27.2a4a5b6a7a-ce-k8",1991,10,15,0.0916001114133167,0.105379044344905,0.139381643101938,0.0478925096268745,1.52163180755341,0.454478496408857,4339055.02462259,0.0514490623448573,3917750
"11","hom.27.2a4a5b6a7a-ce-k8",1992,10,15,0.0916001114133167,0.105379044344905,0.126315411480641,0.0484659038348739,1.37898753103785,0.459919750991909,3981390.929207,0.0783187172207251,7659570
"12","hom.27.2a4a5b6a7a-ce-k8",1993,10,15,0.0916001114133167,0.105379044344905,0.33311287714338,0.0413923661582418,3.63659903905917,0.392795042084125,3503638.54385343,0.103072545125286,6961380
"13","hom.27.2a4a5b6a7a-ce-k8",1994,10,15,0.0916001114133167,0.105379044344905,0.251115260572387,0.0339817943518692,2.74142964127312,0.322472030023797,2992100.23006638,0.106655653846803,6385880
"14","hom.27.2a4a5b6a7a-ce-k8",1995,10,15,0.0916001114133167,0.105379044344905,0.193544620411334,0.0400948409201109,2.11292996727946,0.38048210789311,2629552.03435816,0.157679001086907,3836720
"15","hom.27.2a4a5b6a7a-ce-k8",1996,10,15,0.0916001114133167,0.105379044344905,0.159777485156321,0.0365571959529529,1.74429356789072,0.346911439368358,2315190.75657947,0.137309018481492,2155970
"16","hom.27.2a4a5b6a7a-ce-k8",1997,10,15,0.0916001114133167,0.105379044344905,0.145000830948414,0.0329591880789662,1.58297657842515,0.312767953855142,2179159.23871904,0.193695606408115,1497210
