"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","cod.27.5a",1955,6,13,0.122527231380744,0.0907045391113128,0.1615628733419,0.0018669660928577,1.31858748068709,0.0205829400727846,725273.856950656,0.347666666666667,161466
"2","cod.27.5a",1956,6,13,0.122527231380744,0.0907045391113128,0.180211939119102,0.0031313208748828,1.47079091797241,0.0345222069982632,583291.628817103,0.345833333333333,215103
"3","cod.27.5a",1957,6,13,0.122527231380744,0.0907045391113128,0.199606405126428,0.00133662298506812,1.62907790274119,0.0147360098862066,574046.743499208,0.387,304213
"4","cod.27.5a",1958,6,13,0.122527231380744,0.0907045391113128,0.171506990178214,0.000709657279819918,1.39974590338427,0.00782383425099625,689248.373266705,0.435666666666667,153622
"5","cod.27.5a",1959,6,13,0.122527231380744,0.0907045391113128,0.144697881718496,0.0039621130811586,1.18094467726002,0.0436815303840118,638534.195868457,0.384,195931
"6","cod.27.5a",1960,6,13,0.122527231380744,0.0907045391113128,0.123162051228763,0.000258599923482762,1.00518105110892,0.00285101413905436,582838.970846754,0.4285,125111
"7","cod.27.5a",1961,6,13,0.122527231380744,0.0907045391113128,0.11058526197299,0.000315238891549704,0.90253620135555,0.00347544780711406,398957.34977143,0.4015,173200
"8","cod.27.5a",1962,6,13,0.122527231380744,0.0907045391113128,0.138553196217034,0.000286083297457192,1.13079512738267,0.00315401302140028,505066.649869491,0.403166666666667,197565
"9","cod.27.5a",1963,6,13,0.122527231380744,0.0907045391113128,0.152803926656765,0.000895809983381276,1.24710176615302,0.00987613180286309,460081.594998593,0.459666666666667,219616
"10","cod.27.5a",1964,6,13,0.122527231380744,0.0907045391113128,0.111617175919285,0.00144248394140806,0.910958116505894,0.0159031064546597,419578.973407008,0.520833333333333,233050
"11","cod.27.5a",1965,6,13,0.122527231380744,0.0907045391113128,0.0913402584241196,0.000324296934380542,0.74546904712379,0.00357531097735433,322564.431669423,0.563,320419
"12","cod.27.5a",1966,6,13,0.122527231380744,0.0907045391113128,0.0572601933455327,0.000117272982738745,0.46732626453952,0.00129291195223237,295321.138364636,0.5195,171116
"13","cod.27.5a",1967,6,13,0.122527231380744,0.0907045391113128,0.0572373719940168,0.000284202048095731,0.467140009196453,0.00313327261105376,280318.361501265,0.483333333333333,239593
"14","cod.27.5a",1968,6,13,0.122527231380744,0.0907045391113128,0.0620822091514299,0.0000946479438589449,0.506680910454216,0.00104347527462537,248193.839162406,0.564666666666667,179438
"15","cod.27.5a",1969,6,13,0.122527231380744,0.0907045391113128,0.104180235972452,0.000107961252587808,0.850261895241228,0.00119025192835518,353829.08385615,0.457833333333333,192968
"16","cod.27.5a",1970,6,13,0.122527231380744,0.0907045391113128,0.11587445721849,0.000157655648288581,0.945703709393536,0.00173812302926875,354361.670280911,0.565,141824
"17","cod.27.5a",1971,6,13,0.122527231380744,0.0907045391113128,0.127339849813315,0.0000769112444239348,1.03927794971239,0.000847931593914491,252753.828802976,0.675,277781
"18","cod.27.5a",1972,6,13,0.122527231380744,0.0907045391113128,0.0993178342080047,0.0000675154571445636,0.810577641303115,0.0007443448564543,225043.396228652,0.671166666666667,186988
"19","cod.27.5a",1973,6,13,0.122527231380744,0.0907045391113128,0.0787441590503626,0.0000334341707924433,0.642666598787913,0.000368605266285658,244525.516991183,0.706666666666667,259329
"20","cod.27.5a",1974,6,13,0.122527231380744,0.0907045391113128,0.0536602434964292,0.0000304275450422753,0.437945450099039,0.000335457798919352,188005.100906412,0.729,370981
"21","cod.27.5a",1975,6,13,0.122527231380744,0.0907045391113128,0.0381162875541943,0.0000657543079677252,0.311084214706123,0.000724928527413952,174071.865707827,0.7225,143961
"22","cod.27.5a",1976,6,13,0.122527231380744,0.0907045391113128,0.0328251401928776,0.0000359543264072929,0.267900774570478,0.000396389494501148,144585.1108197,0.7115,225108
"23","cod.27.5a",1977,6,13,0.122527231380744,0.0907045391113128,0.042102450657818,0.0000828397948373306,0.34361708971443,0.000913292715546126,197605.655624614,0.576666666666667,239218
"24","cod.27.5a",1978,6,13,0.122527231380744,0.0907045391113128,0.0417487025477245,0.0000464996007839152,0.340729991833354,0.000512649104879424,210887.448654252,0.465333333333333,140994
"25","cod.27.5a",1979,6,13,0.122527231380744,0.0907045391113128,0.0702250346808386,0.0000476250952501905,0.57313818234103,0.000525057463681557,306447.626466112,0.441,145929
"26","cod.27.5a",1980,6,13,0.122527231380744,0.0907045391113128,0.137637158052207,0.00010017068557608,1.12331892674952,0.0011043624338706,368772.791867417,0.487,139250
"27","cod.27.5a",1981,6,13,0.122527231380744,0.0907045391113128,0.124423286063077,0.0000936282382766642,1.01547455745932,0.00103223321780802,267584.070267607,0.619166666666667,230639
"28","cod.27.5a",1982,6,13,0.122527231380744,0.0907045391113128,0.103141577863094,0.0000974285911966914,0.841784937934243,0.00107413137370255,177034.996434895,0.706333333333333,140599
"29","cod.27.5a",1983,6,13,0.122527231380744,0.0907045391113128,0.0943484381539398,0.0000730510215728798,0.770020158708712,0.000805373383610179,138823.151872709,0.661166666666667,139345
"30","cod.27.5a",1984,6,13,0.122527231380744,0.0907045391113128,0.0708196997343168,0.00015218901227712,0.577991512060285,0.00167785442457685,148066.334844363,0.617166666666667,303152
"31","cod.27.5a",1985,6,13,0.122527231380744,0.0907045391113128,0.0509865145806616,0.0000969123461018668,0.416123942458349,0.00106843987138213,164324.851801983,0.691666666666667,251883
