"","stock","year","Amsy","A0","Pmsy","P0","Ptmsy","Pt0","ABImsy","ABI0","SSB","F","R"
"1","ple.27.7d",1980,6,6,0.0912363412291185,0.285333191955494,0.039541030933091,0.039541030933091,0.433391238627084,0.13857844810168,8222.8863203032,0.24907,67426.8
"2","ple.27.7d",1981,6,6,0.0912363412291185,0.285333191955494,0.0213662857547068,0.0213662857547068,0.234186130952472,0.0748818797009758,10955.861540919,0.29990975,34880.9
"3","ple.27.7d",1982,6,6,0.0912363412291185,0.285333191955494,0.0255076357090784,0.0255076357090784,0.279577582413372,0.0893959638353502,13307.0507824996,0.35264625,65744.4
"4","ple.27.7d",1983,6,6,0.0912363412291185,0.285333191955494,0.0178123821079093,0.0178123821079093,0.195233411028372,0.0624266037394193,13260.627190146,0.39263025,56889.5
"5","ple.27.7d",1984,6,6,0.0912363412291185,0.285333191955494,0.0185975498244359,0.0185975498244359,0.203839276914147,0.0651783611187329,13073.4623353048,0.40637075,58127.3
"6","ple.27.7d",1985,6,6,0.0912363412291185,0.285333191955494,0.024658668569144,0.024658668569144,0.270272440092919,0.0864206102351747,12942.2946370572,0.402775,77771.7
"7","ple.27.7d",1986,6,6,0.0912363412291185,0.285333191955494,0.028767459294009,0.028767459294009,0.315307024662095,0.100820584863804,13004.01252378,0.3954825,164360
"8","ple.27.7d",1987,6,6,0.0912363412291185,0.285333191955494,0.0140827600641789,0.0140827600641789,0.154354721752962,0.0493554919694569,15951.8105570276,0.39605025,97590.4
"9","ple.27.7d",1988,6,6,0.0912363412291185,0.285333191955494,0.0165670642783833,0.0165670642783833,0.181584049241727,0.0580621699313811,20941.434368589,0.40528425,60960.2
"10","ple.27.7d",1989,6,6,0.0912363412291185,0.285333191955494,0.0199894028271387,0.0199894028271387,0.219094744022451,0.0700563530311491,21744.929080812,0.4069755,38270.2
"11","ple.27.7d",1990,6,6,0.0912363412291185,0.285333191955494,0.026186366096981,0.026186366096981,0.287016837196706,0.0917746930089561,18308.463225764,0.3794675,38369.7
"12","ple.27.7d",1991,6,6,0.0912363412291185,0.285333191955494,0.0393260553624762,0.0393260553624762,0.431034989267249,0.13782502867248,14378.2361108942,0.34498875,69664.8
